question,answer,category
I will stop. (use futur simple),Je m'arrêterai.; When you use arrêter and you do not specify what you are stopping then you must use the reflexive form of the verb (S'ARRÊTER) to explain that you are stopping yourself ...from doing something. You cannot just say: J'arrête.,verbs
The water stopped.,L'eau s'est arrêté.; We use the reflexive form of the verb (S'ARRÊTER) because some subject has to stop the water - it can't be ambiguous. In this case the water is stopping itself. But if we were more explicit about what stopped the water (or turned it off) then we could use the non-reflexive form of ARRÊTER. e.g. Elle a arrêté l'eau. = She stopped the water.,verbs
He stopped the car.,Il a arreté DE la voiture.;Subject + ARRÊTER + DE + Object (with article). You must use preposition DE.; In this case the object (the thing that is stopped) is explicit. So we do not need to use the reflexive form of the verb (S'ARRÊTER).,verbs
How do you construct the 'indicatif passé composé' verb tense?,AUXILIARY VERB (être or avoir conjugated au présent) + PARTICIPE PASSÉ of the main verb; If être is the auxiliary (helper) verb then the participe passé must also agree with the subject in number and gender. Generally if the auxiliary is avoir then the participe passé does not agree in gender/number. There are some exceptions.,verbs
When should you use indicatif passé composé (instead of indicatif imparfait)?,Use it for actions that occurred in the past. It should be used for anything that can be placed in a chronology - anything that advances a story. It should definitely be used to conclude a story. It should be used for an action that interupts the setting/background (e.g. the phone rang).,verbs
How does the treatment of objects change when you are using indicatif passé composé (compared to indicatif imparfait)?,Phrases in passé composé must always be able to stand alone. So you cannot omit an object (or a pronoun that represents an object) of the phrase.; But when you are using imparfait to describe the context of a story then you are allowed to be a little vague (to build suspense) because you will eventually need to conclude with a complete phrase in passé composé.,verbs
Generally how is the participe passé formed for 1) regular -ER verbs 2) irregular -RE verbs?,1) -ER verbs: radical + É (e.g. parler becomes parlé). This group sounds exactly the same as the 2nd person plural (vous) au présent.; 2) -RE verbs: radical + IS (e.g. prendre becomes pris. mettre become mis. comprendre becomes compris.),verbs
Generally how is the participe passé formed for 1) regular -IR verbs 2) irregular verbs ending -RIR  3) irregular verbs ending -IRE?,1) regular -IR verbs: radical + i (e.g. partir becomes parti); 2) irregular -RIR verbs: radical + ert (e.g. ouvrir becomes ouvert. souffrir becomes souffert.); 3) irregular -IRE verbs: radical + IT (e.g. conduire becomes conduit. écrire becomes écrit. dire becomes dit.),verbs
Generally how is the participe passé formed for -OIR verbs?,radical + U (e.g. pouvoir becomes pu. vouloir becomes voulu. courir becomes couru.),verbs
I ate. We drank.,J'ai mangé. On a bu.; boire is the infinitive for 'to drink' - bu is the past participle and it uses AVOIR in passé composé.,verbs
You (informal and formal) bought.,Tu as acheté. Vous avez acheté.,verbs
They studied.,Ils ont étudié.; étudier is a regular -ER verb. The radical is 'étudi' - not 'étud'.,verbs
They did not study.; Specify common pronunciation.,When writing: Ils n'ont pas étudié.; When speaking the NE portion of negation is optional: Ils‿ont pas étudié. There is now an obligatory liaison between Ils and ont - even though gramatically there should be an NE there.,verbs
I did not study., Je n'ai pas étudié.; You do not need to add DE after PAS when what follows is a verb. This is different from nouns. e.g. Je n'ai pas DE pommes.; In passé composé PAS is placed between the auxiliary and the past participle. It is the only word that comes between those two parts of the verb.,verbs
All in passé composé: I read. / I read it. / I did not read it.,J'ai lu. / Je l'ai lu. / Je ne l'ai pas lu.; Lire changes to Lu for past participle.,verbs
I learn. / I learned., J'apprends. ('juh-prawn') / J'ai appris. ('jay ah-pree'),verbs
What is the past participle for to take + to learn + to understand?,prendre: pris + apprendre: appris + comprendre: compris; Every S is silent at the end.; être compris = to be understood,verbs
at school / in school,à l'école,vocabulary
He lived alone. (passé composé + imparfait),Il a vécu seul. + Il vivait seul.,verbs
We saw something.,On a vu quelque chose.; Voir is the infinitive. It uses avoir in passé composé and the participle is vu.; NB: The general rule for making a past participle for a verb ending in -OIR is to replace -OIR with -U.,verbs
They wanted something. (use passé composé),Ils/Elles ont voulu quelque chose.;Voulour is the infinitive. It uses avoir in passé composé and the participle is voulu.; NB: The general rule for making a past participle for a verb ending in -OIR is to replace -OIR with -U.,verbs
They were wanting me to... (use imparfait which is the likely idiomatic way to say this in french - unless you are stating the conclusion of a story),Ils voulaient que je...; Voulour is the infinitive,verbs
You were able (to pay).,Tu a pu (payer).; Pouvoir is the infinitive (to be able to). Pouvoir uses avoir in passé composé and the participle for all subjects is pu.; NB: pouVOIR is the infinitive so it should be conjugated exactly the same as VOIR (to see).,verbs
Which 5 verbs have a completely irregular past particle?,avoir (eu) + être (été) + faire (fait) + offrir (offert) + ouvrir (ouvert); NB: All of these use AVOIR as the auxiliary in passé composé and plus que parfait.,verbs
He had. / He was. / He did (something).,Il a eu. / Il a été. / Il a fait.; All the 5 verbs with an irregular past participle use AVOIR as the auxiliary verb in passé composé.,verbs
How do you express: There is... (present) + There was/were... (past),There are... =  Il y a...; There was/were... = Il y avais...  Generally imparfait is the better choice for this phrase in the past because you are describing the scene. But there are examples where passé composé is better (Il y a eu...).,verbs
How do you express: There will be... (future),Two options depending on context. 1) Futur simple: Il y aura... = There will be....  2) Futur proche: Il y va avoir = There's gonna be...,verbs
There may be a thunderstorm.,Il peut y avoir un orage.; Take the present tense (Il y a...) and change to use the helper verb pouvoir: Il peut y avoir...,verbs
He spoke rapidly.,Il a RAPIDEMENT parlé.; In passé composé: Adverbs (like rapidement) are placed between the auxiliary and the past participle.,verbs
She often wore makeup.,Elle s'est SOUVENT maquilée.; In passé composé: Adverbs (like souvent) are placed between the auxiliary and the past participle.,verbs
I grew a lot as a person (during some formative time of life),J'ai BEAUCOUP grandi en tant que personne.; In passé composé: Adverbs (like beaucoup) are placed between the auxiliary and past participle.,vocabulary
How do you negate a phrase in passé composé?,NE comes directly after the subject. PAS is placed between the auxiliary and the past participle (like all adverbs).; e.g. We did not do X. = Nous n'avons pas fait X.; Nothing else (except adverbs) are ever placed between the auxiliary and the past participle.,verbs
He did not read. + They did not run.,Il N'a PAS lu. + Ils N'ont PAS couru.; In passé compose: NE is placed directly after the subject (before any pronouns). PAS is placed between the auxiliary and past participle.,verbs
I did not travel a lot.,Je N'ai PAS BEAUCOUP voyagé.; In passé composé: Adverbs (like beaucoup) are placed between the auxiliary and past participle - with PAS.,vocabulary
I have not yet finished.,Je n'ai pas ENCORE fini.; Encore can mean 'yet' or 'even'.; Adverbs (like encore) are placed between the auxiliary and the past participle - with PAS.,verbs
idiomatic way to express: I was running all week.,J'enchaine. = I'm really busy doing one thing after another; enchainer = to do one thing after another (like chain smoking); You could also say: J'ai couru toute la semaine. = I ran all week long (literally).,conversation
She pinched her finger.,Elle s'est pincé (not pincée) le doight.; If a reflexive verb is followed by an object then the participe passé does not agree in gender/number with the subject.,verbs
She injured herself while riding a bike.,Elle s'est blessée (agreement) en faisant du vélo.; The reflexive verb is not followed directly by an object so the participe passé still must agree in gender/number with the subject.,verbs
What the three characteristics that lead to a verb using être in passé composé?,1) a verb that describes movement of an animate object (e.g. la maison de être = verbs that describe a person's movement in/around a home) 2) a verb that describes a change of state (e.g. naître + mourir + devenir = to become something) 3) Any verbs that is being used in a reflexive way (e.g. SE PROMENER); NB: An acronym to remember the 15 base verbs is MRS VANDERTRAMPP.; Remember that when être is the auxiliary verb then the past participle must agree with the subject in gender and number.,verbs
What are the 15 verbs that use être in passé composé (a past tense)?,Monter Retourner Sortir Venir (e.g. includes devenir + revenir + etc.) Arriver Naître Descendre Entrer Rentrer Tomber Rester Aller Mourir Partir Passer; Remember that when être is the auxiliary verb then the past participle must agree with the subject in gender and number.; Some verbs can use both être and avoir as auxiliaries but the choice changes the meaning.,verbs
When do we use avoir (instead of être) as auxiliary in passé composé for the 15 verbs that typically use être?,If the COD of the verb is a location then we are using the verb in the positional sense which dictates être as auxiliary. e.g. Je suis passé devant le magasin. = I passed in front of the store.; If the COD of the verb is an object then we are using the verb in a non-positional sense which dictates avoir as auxiliary. e.g. J'ai passé un bon moment. = I had a good time.,verbs
Conjugate 'to arrive' in passé composé.,ARRIVER is the infinitive; Je suis arrivé(e) (m/f) + Tu es arrivé(e) (m/f) + Il/Elle/On est arrivé(e) (m/f) + Nous sommes arrivés + Vous êtes arrivés + Ils/Elles sont arrivé(e)s; explanation: arriver uses être in passé composé. So we conjugate être for the auxiliary. Then the past participle must agree with the subject.,verbs
I leave. + I left (a place).,Je pars. + Je suis parti(e).; PARTIR is not a regular -IR verb. Nous partONS. - not Nous partissons.; PARTIR uses être in passé composé so the past participle must agree with the subject.; Think of partir as 'parting' from something.,verbs
I go out of the apartment. + I went out.,Je sors du appartement. + Je SUIS sorti(e) du appartment.; SORTIR is not a regular -IR verb in the present tense.; SORTIR uses être in passé composé (when it is being used to describe the position of the subject) so the past participle must agree with the subject.; la sortie = the exit. SORTIR + DE = to go out from OR to take out from.,verbs
I take my gloves out of the box. + I took my gloves out of the box.,Je sors mes gants de la boîte. + J'AI sorti mes gants de la boîte.; SORTIR generally uses être as auxiliary but in this case we are using SORTIR to describe an action (not the position of the subject) so we use avoir as auxiliary.; SORTIR + DE = to go out from OR to take out from.,verbs
They (all feminine) went online to learn.,Elles sont allées en ligne.; Aller uses être in passé composé and so it must agree with the subject (Ils sont allés. vs Elles sont allées.),verbs
You come from the country. + You came from the country.,Tu viens de la campagne. + Tu es venu(e) de la campagne.; VENIR (to come) uses être in passé composé so the participe passé must agree with the subject (venu if masculine + venue if feminine).,verbs
We came home to our place. + We brought the table into our place.,On EST rentrés chez nous. + On A rentré la table chez nous.; RENTRER (to come back) generally uses être as auxiliary (the first phrase). But if we use RENTRER to describe something other than the position of the subject then we use avoir as auxiliary and that means that the participe passé no longer agrees with subject (second phrase).,verbs
I entered the bedroom. + I inserted the key into the lock.,Je SUIS entré(e) dans la chambre. + J'AI entré la clé dans la serrure.; ENTRER (to enter) generally uses être as auxiliary (the first phrase). But if we use ENTRER to describe something other than the position of the subject then we use avoir as auxiliary and that means that the participe passé no longer agrees with subject (second phrase).,verbs
I climbed the stairs. + I put up the suitcases.,Je SUIS monté(e) les escaliers. +  J'AI monté les valises.; Monter with auxiliare être (participe passé agrees) = to go up / to take oneself up. Monter with auxiliare avoir (participe passé does not agree) = to take upstairs (or assemble) some object (COD).,verbs
I got off the bus. + I took down the bottle from the shelf.,Je SUIS descendu(e) du bus. + J'AI descendu la bouteille de l'étagère.; DESCENDRE (to go down / to descend) generally uses être as auxiliary (the first phrase). But if we use DESCENDRE to describe something other than the position of the subject then we use avoir as auxiliary and that means that the participe passé no longer agrees with subject (second phrase).,verbs
The mosque was turned towards the museum. + He turned the page of the book.,La mosquée EST tournée vers la musée. + Il A tourné la page du livre.; TOURNER generally uses avoir in passé composé (which is the case in the second phrase). But when we use TOURNER to describe the position of the subject (as in the first phrase) then we must use être as auxiliary. That means that the participe passé must agree in gender/number with the subject.,verbs
What are the only two verbs that use être in passé composé AND are irregular in passé composé?,naître (to be born) and mourir (to die) - e.g. Je suis né(e) + Il/Elle est mort(e).; NB: Any verb can be made into a reflexive verb. So if a verb (that normally uses avoir in passé composé) is used reflexively in passé composé then it might be an additional case of an irregular être verb in passé composé.,verbs
They (all men / all women) died.,Ils sont morts. / Elles sont mortes.;Mourir (to die) uses être in passé composé which means that the participle must agree with the subject.,verbs
She/he was born on XX/XX/XXX. He was born.,Elle/il est né(e) le XX/XX/XXXX.; Naître (to be born) uses être in passé composé so the past participle must agree with the subject.; Place LE before any date because all dates are masculine nouns.,verbs
You (formal and informal) were born in XXXX,Vous êtes / Tu es né(e) à/en/au/aux XXXX.; à for a city; en/au/aux for a country following aller + rester + partir.,verbs
What are 3 alternative ways to say I was born in Paris (without using the verb naître)?,Je suis natif de Paris. + Je suis parisienne de naissance. + Je suis paname.; Paname is a slang word for Paris.,verbs
the city where I was born,la ville OÙ je suis né(e); Use the relative pronoun OÙ to represent a time or place (where or when). This is different than when you start a phrase with 'when'. e.g. when i was 10 years old = QUAND j'avais 10 ans,pronouns
France is a good place to live.,La France est un bon endroit OÙ vivre.; Use pronom où (where) in this case - instead of DE.,pronouns
the season when it is hottest,la saison OÙ il fait plus chaud; Use the relative pronoun OÙ to represent a time or place (where or when).,pronouns
the moment when I saw it,le moment ('momo') OÙ je l'ai vu; Use the relative pronoun OÙ to represent a time or place (where or when).,pronouns
My cousin had a son.,Use AVOIR in passé composé: Mon cousin a eu un fils.,verbs
How do you construct the 'indicatif passé composé' verb tense for reflexive verbs?,All reflexive verbs use être as a helper verb (regardless of whether or not they use être in the non-reflexive form). SUBJECT + PRONOUN (me/te/...) + ÊTRE CONJUGATED + PAST PARTICIPLE OF THE VERB; NB: We are using être as the auxiliary verb in these reflexive cases so the past participle must agree with the subject.,verbs
Yesterday I got up at 8am.,Hier je me suis levé(e) à 8h.,verbs
You (masc / fem) went to sleep late last night.,Tu t'es couché / couchée tard hier soir (or la nuit dernière).; Se coucher is reflexive so we use être as auxiliary and then the past participle agrees with the subject.; NB: In this case t'es is a required contraction of the pronoun TE and the verb EST. But in conversation it is not uncommon for the french to contract the subject TU and the verb EST. e.g. T'es gentil(e). = You are nice. Do not use this in formal communication but you will hear it in informal communication.,verbs
I help you.,Je t'aide.; pronouns that are direct objects come BEFORE the verb in French,verbs
I helped you.,Je t'ai aidé.; In the past tense the direct object pronoun comes BEFORE BOTH the helper verb and the action verb.,verbs
He helped us. / I helped them.,Il nous a aidé. / Je les ai aidé.,verbs
Can you (formal) help me? + Would you help me?,Pouvez-vous m'aider? (indicatif présent) + Pourriez-vous m'aider? (conditionnel présent); The latter is more polite because it uses the conditionnel mood.,verbs
Can you (informal) hear me?,Peux tu m'entendre?,verbs
Can I ...? + May I ...?,Pourrais-je ('poo-rayj')...? Use POUVOIR in the conditionnel mood to be polite in formal and informal settings.; Rarely used alternative: Puis-je ('poo-eej') ...? This is the present tense (je peux) inverted. We cannot say peux-je because of vowels so we revert to an ancient form of the word (je puis). This is not common. It sounds weird in everyday settings. Do not use it.,verbs
May I help you?,Pourrais-je vous aider? Use POUVOIR in the conditionnel mood to be polite in formal and informal settings.; Alternative you may hear: Comment puis-je ('poo-eej') vous aider? = How can I help you? using inversion of the ancient form je puis. A vendor in a store may use this to be overly polite but it sounds weird in everyday conversation.,verbs
He gives to me. + He gave to me. + He will give to me.,Il me donne. + Il m'a donné. + Il va me donner.; In futur proche (conjugated ALLER + infinitive) pronouns that are objects of the verb - direct and indirect - are placed in between the conjugated ALLER and the infinitive.,verbs
You told me multiple times.,Tu me l'as dit plusieurs fois.; Tu (You) me (to me) le (it) as (auxiliary AVOIR because NOT reflexive and uses 'to tell' uses avoir) dit (past participle of dire); NB: In French you cannot just say 'You told me.' You must refer to what it is that was told (You told IT to me.) ...even if you use a pronoun and even if you already described it in a previous sentence.; Both the direct and indirect object pronouns come before the verb.,verbs
I remembered it. + I did not remember it.,Je m'en suis souvenu(e). + Je ne m'en suis pas souvenu(e).; To form the past tense look at the infinitive (se souvenir). It is a variation of the verb VENIR. So it has the same ending in past participle: souvenu.; Remember in this case we use 'en' instead of 'le' to represent 'it' because SE SOUVENIR triggers DE before the object.,verbs
I thought about something. + I remembered something.,Je pensais (imparfait) à quelque chose. + J'ai pensé à quelque chose.; You can choose between imparfait (something in the past that has changed or is no longer happening) and passé composé (something distinct that happened in the past) to change the meaning of a phrase. There is lots of nuance - it's not black/white.; We almost always use the imparfait to describe something we were thinking in the past because (implicitly) we no longer think the same now.,verbs
I dreamed of a cat. + I dreamed of becoming a doctor (but I did not).,J'ai rêvé (passé composé) d'un chat. + Je revais de devenir médecin.; You can choose between imparfait (something in the past that has changed or is no longer happening) and passé composé (something distinct that happened in the past) to change the meaning of a phrase. There is lots of nuance - it's not black/white.,verbs
I became an engineer. + I almost became a doctor (but I did not).,Je suis devenu(e) (passé composé) ingénieur. + Je devenais (imparfait) médecin.; You can choose between imparfait (something in the past that has changed or is no longer happening) and passé composé (something distinct that happened in the past) to change the meaning of a phrase. There is lots of nuance - it's not black/white.,verbs
When using passé composé (or any other composed verb tense) with AVOIR as the auxiliary` under what circumstances does the participe passé agree in gender/number?,When the direct object of the phrase (or its pronoun) is placed before the verb. In these cases the participe passé must agree in gender/number with the OBJECT (not the subject).; For example: J'ai VU la femme. (No agreement in participe passé because avoir is the auxiliary and a direct object is placed after the verb.) C'est la famme que j'ai VUE. (Participe passé is feminine singular to agree with the object - la femme - because avoir is the auxiliary and the object is placed before the verb.,verbs
He ate them.,Il les (masc pl) a mangéS (masc pl).; This is the special case of passé composé (or any composed tense) where avoir is the auxiliary and a direct object (or its pronoun) is placed before the verb. In those cases the participe passé must agree with the object (not the subject). This often changes the pronunciation of the participe passé.,verbs
It's the apartment that she bought. + It's the house that she bought.,C'est l'appartement qu'elle a acheté (masc sing to agree with appartement). + C'est la maison qu'elle a achetée (fem sing to agree with maison).; The participe passé must agree in gender/number with a DIRECT OBJECT (not the subject) when avoir is the auxiliary and the object is placed before the verb.; This often changes the pronunciation of the participe passé.,verbs
the apartment that my father constructed + the house that my father constructed; Specify pronunciation.,l'appartement (masc sing) que mon père a construit ('kohn-stwee') + la maison (fem sing) que mon père a construitE ('kohn-stweeT'); This is the special case of passé composé (or any composed tense) where avoir is the auxiliary and a direct object (or its pronoun) is placed before the verb. In those cases the participe passé must agree with the object (not the subject). This often changes the pronunciation of the participe passé.,verbs
the box that I opened; Specify pronunciation.,la boîte que j'ai ouvertE ('oo-verT'); This is the special case of passé composé (or any composed tense) where avoir is the auxiliary and a direct object (or its pronoun) is placed before the verb. In those cases the participe passé must agree with the object (not the subject). This often changes the pronunciation of the participe passé.,verbs
the flowers that you offered to Simone; Specify pronunciation.,les fleurs (fem pl) que tu as offertES ('oh-fehrT') à Simone; This is the special case of passé composé (or any composed tense) where avoir is the auxiliary and a direct object (or its pronoun) is placed before the verb. In those cases the participe passé must agree with the object (not the subject). This often changes the pronunciation of the participe passé.,verbs
the flowers that you gave + the flowers of which you spoke; Specify spelling of the participe passé.,les fleurs (fem pl) que tu as donnéES (fem pl) + les fleurs DONT tu as parlé (masc sing).; The first phrase is the case of composed tenses where a direct object (the flowers) is placed before the verb AND avoir is the auxiliary. So the participe passé must agree in gender/number with the direct object.; The second phrase resembles that case butthe object is not a direct object. So the participe passé does NOT agree in gender/number with the object. The object (the flowers) is the object of a prepositional phrase: Tu as parle DE les fleurs. The use of DONT is the hint here.,verbs
What is the 'indicatif imparfait' verb tense?,Imparfait tense is used for happenings in the past (not the present) that do not advance the story (do not fit strictly into a chronology): a situation + scene + state of being + habit + feelings + thoughts. 1) Something in the past with a continuing/ambigous time frame. e.g. telling a story / sharing a memory  2) Adding context/setting/details (not actions) to a story in the past  3) Something that happened habitually in the past (habits)  4) Something that was true in the past but is no longer true in the present (e.g. When you thought something in the past but now you think differently.),verbs
How do you construct the 'indicatif imparfait' verb tense?,For -ER and -IR verbs: RADICAL of the infinitive in the NOUS form + imparfait endings (je -ais + tu -ais + il -ait + nous -ions + vous -iez + ils -aient); There is no auxiliary/helper verb (as in passé composé).; NB: For all -ER verbs 'imparfait' sounds exactly the same as the infinitive for ALL subjects (except nous and vous forms)!!; NB: The endings (not the base) for the indicatif imparfait and conditionnel présent tenses are exactly the same.,verbs
What are the two english phrases that - when translated - almost always use 'imparfait' tense?,I was (doing something) + I used to (do something) ...for any subject; Note how these indicate something in the past without a defined beginning and end / was or used to be but is no longer / was habitual.,verbs
I bought it at the store. + I was buying it... (when something else happened).,Je l'ai acheté (indicatif passé composé) au magasin. + Je l'achetais (indicatif imparfait)...; The second phrase is in l'imparfait because it describes context instead of an action that advances the story.,verbs
I walked on the beach. + I used to walk on the beach.,J'ai marché (indicatif passé composé) sur la plage. + Je marchais (indicatif imparfait) sur la plage.; The second phrase is in l'imparfait because it describes an habitual action in the past.,verbs
How do you determine whether to conjugate in indicatif passé composé vs imparfait?,Use passé composé for ACTION (or reaction) that advances a story. These phrases could be placed in a timeline/chronology. Often these are punctuated actions with clear start/end.; Use imparfait for DESCRIPTION to enrich the context or provide detail (e.g. weather). Use imparfait for habitual/repetitive activities in the past and activities in the past without a clear start/finish.; If the phrase doesn't fit into the chronology of the story then it probably should be conjugated in imparfait.,verbs
Conjugate marcher (to walk) in the 'imparfait' tense (I was walking + You were walking + etc).,First determine présent nous form: nous MARCHons. Then subtract the ending so radical = MARCH; Now add the endings to the radical: Je marchais + Tu marchais + Il/Elle/On marchait + Nous marchions + Vous marchiez + Ils/Elles marchaient; NB: Marcher is a regular -ER verb so all the imparfait forms (except nous and vous) sound exactly the same as the infinitive - though they are spelled differently.,verbs
I ate. / I was eating.,J'ai mangé. / Je mangeais.; Both are pronounced exactly the same as the infinitive.; Manger is a regular -ER verb all the 'imparfait' conjugations (except nous and vous) sound exactly the same as the infinitive - though they are spelled differently.,verbs
You (informal) ate. / You (informal) were eating.,Tu a mangé. / Tu mangeais.; Both are pronounced exactly the same as the infinitive.; Manger is a regular -ER verb all 'imparfait' conjugations (except nous and vous) sound exactly the same as the infinitive - though they are spelled differently.,verbs
You (formal) ate. / You (formal) ate.,Vous avez mangé. ('mon-jay') / Vous mangiez. ('mon-jee-ay'); Only passé composé is pronounced the same as the infinitive because the subject is vous.; Manger is a regular -ER verb all 'imparfait' conjugations (except nous and vous) sound exactly the same as the infinitive - though they are spelled differently.,verbs
She was waiting for me. + She was waiting for me to finish.,Elle m'attendait. (no preposition between the verb 'to wait' and the person/thing you are waiting for) + Elle attendais que je finisse. (Use subjonctif in this case.),verbs
Conjugate être (to be) in the 'imparfait' tense (I was + You were + He was + We were + You guys were + They were),J'étais ('jeh-tay') + Tu étais ('tu-eh-tay' OR 'teh-tay' but always spelled as two words) + Il/Elle était ('eh-tay') + Nous étions ('eh-teeon')+ Vous étiez ('eh-teeay')+ Ils/Elles étaient ('eh-tay'),verbs
I was happy.,J'étais heureux/heureuse.; You automatically use the imparfait (instead of passé composé) because you are describing a state of being in the past.,verbs
Conjugate avoir (to have) in the imparfait tense (I was having + You were having + He was having + We were having + You guys were having + They were having),j'avais + tu avais + il avait + nous avions + vous aviez + ils avaient,verbs
Conjugate savoir (to know) in the imparfait.,the same as AVOIR - just add an S in front of them all,verbs
Conjugate voir (to see) in the imparfait.,Different than AVOIR. je voyais + tu voyais + il voyait + nous voyions + vous voyiez + ils voyaient,verbs
to recognize/acknowledge,reconnaître; It is CONNAÎTRE (to be familiar with) with the prefix RE-.,verbs
to get to know (someone),apprendre à connaître (quelqu'un); This phrase only works with getting to know someone. If you mean 'to get to know some thing' then you must use S'HABITUER (to get used to),verbs
I got to know him at work.,J'ai appris à le connaitre au travail.; le = him because it is a direct object in this case.,verbs
to be used to something,AVOIR l'habitude À quelque chose; This is different from describing the action of getting used to something (S'HABITUER).,verbs
to get used to something,Many options: 1) S'HABITUER À quelque chose  2) PRENDRE l'habitude  3) AVOIR l'habitude = to be used to something already  4) DEVOIR habituer = to be required to get used to something,verbs
I adapt (to a new situation).,Je me suis adapter.; Must use the reflexive form of the verb.,verbs
The hairdressers must get used to (or 'get to know') my hair.,Il faut que les coiffeurs s'habituent à mes cheveux.; S'HABITUER = to get used to some thing; USE apprendre à connaître if instead you mean to get to know someone.,verbs
They are used to reading content online. + They got used to reading content online.,Ils ont (AVOIR) l'habitude à lire du contenu en ligne. + Ils se sont habitués (S'HABITUER)...; These two sentiments are different enough that they require different verbs.,verbs
I am getting used to walking to work.,Je m'habitue (S'HABITUER) à marcher (infinitive) pour aller au travail.; In english when we want to use a verb as a noun (walking in this case) then we add -ING (e.g. I like dancing.) But in french we cannot use a verb as a noun. If we need a noun then we use the infinitive. (e.g. J'aime danser. = I like to dance.),verbs
to blend in,se fondre dans la masse,vocabulary
Before... I went out every night.,Avant... je sortais tous les soirs.; 'i went' is the flag to use the 'imparfait'. But also when 'avant' is used in this way then you can expect 'imparfait' to follow it.,verbs
In the mornings I ate eggs. + Frequently I ate eggs.,Le matin je mangeais des œufs. +  Souvent je mangeais des œufs.; Both of these phrases suggested something that was habitually done in the past (not just once). Therefore we use imparfait in both cases.,verbs
I used to play tetris.,Je jouais ('zshoo-ay') au tetris.; Use imparfait because in this case 'used to' means an activity in the past that was done repeatedly that is no longer happening - not to become accustomed to something.,verbs
I used to make coffee.,Je faisais ('fez-ay') du café.; Use imparfait because in this case 'used to' means an activity in the past that was done repeatedly that is no longer happening - not to become accustomed to something.,verbs
I am used to sleeping a long time.,Je suis habitué(e) (SE HABITUER) À dormir longtemps. OR J'ai l'habitude DE dormir longtemps.; Être habitué(e) requires preposition À. Avoir l'habitude requires preposition DE.; In this case 'used to' means that you got accustomed to something (in the past). So use passé composé. It is not an activity that was done repeatedly.,verbs
I am used to swimming.,Je suis habitué(e) (SE HABITUER) À nager. OR J'ai l'habitude DE nager.; Être habitué(e) requires preposition À. Avoir l'habitude requires preposition DE.; In this case 'used to' means that you got accustomed to something (in the past). So use passé composé. It is not an activity that was done repeatedly.,verbs
Which verbs almost always use the imparfait tense (instead of passé composé) when used in the past tense? Why?,penser + savoir + connaitre + vouloir + pouvoir + devoir; When you use these verbs in the past you almost mean that you thought/knew/wanted/etc something but that you no longer think/knew/want it now - the scenario has changed. That is why we almost always use imparfait for these verbs in the past tense. But be careful. Choosing imparfait vs passé composé depends on how the phrase is being used.,verbs
My mother wanted to see the horse.,Ma mère voulait voir le cheval.; The infinitive is VOULOIR (to want). Conjugate vouloir in the imparfait because you are implying that she wanted something in the past but may not want the same thing in the present. For this reason... VOULOIR is almost always conjugated in imparfait (instead of passé composé) in the past.,verbs
It was 3:00pm. I saw an elephant.,Il était 15 heures. J'ai vu un éléphant.; The first sentence describes the setting so use imparfait. The second sentence describes a discrete action so use passé composé.,verbs
What is the 'conditionnel' verb mood? Which tenses does it contain?,Conditionnel verb mood expresses a hypothetical action that depends on something else being true. Contionnel mood has two verb tenses: conditionnel présent (could/should/would) and conditionnel passé (could have / should have / would have),verbs
What is the 'conditionnel présent' verb tense?,e.g. I would / could / should (do something). It expresses a hypothetical situation. There is uncertainty with a condition - you would do something IF something else were true. The accompanying IF statement may be implied.; The word IF cannot be used in the same phrase as you use the conditionnel mood because that would duplicate the hypothetical. e.g. I would do it... if I have time. = Je le ferrais (conditionnel présent)... si j'ai (indicatif présent) le temps.,verbs
When should you use the conditionnel présent verb tense?,1) to be polite (e.g. je voudrais) 2) to express a wish 3) to give advice (tu devrais) 4) to share information that is not confirmed (e.g. news article); NB: You can also use the imparfait to be polite in the present: Je voulais un cafe. = I would like a coffee. (in a very polite way),verbs
How do you construct the 'conditionnel présent' verb tense?,Use the same radical as the futur simple (the entire infinitive or modified infinitive - typically with R). Then add the imparfait endings to agree with subject: je -ais + tu -ais + il/elle/on -ait + nous -ions + vous -iez + ils/elles -aient; NB: Almost all of the conditionnel présent conjugations (je/tu/il/ils) sound exactly the same as the first person singular (je) form for indicatif futur simple (though spelled differently).; But the nous and vous forms are pronounced differently.,verbs
I would like some milk.,Je voudrais DU lait.; Vouloir (to want) is conjugated in the conditionnel mood for politeness.,verbs
I would like to find...,Je voudrais trouver...; Vouloir (to want) is conjugated in the conditionnel mood for politeness.,verbs
How do you express: I could / may / might (do something).,Je POURRais faire quelque chose.; POUVOIR (to be able to) in the conditionnel présent + infinitive of the action verb,verbs
How do you express: I should (do something).,Je DEVRais ('shduh-vray'; Je can contract in front of any verb) faire quelque chose.; DEVOIR (to must) in the conditionnel présent + infinitive of the action verb,verbs
How do you express: I must (do something).,Je DOIS ('shdwah'; Je can contract in front of any verb) faire quelque chose.; Use DEVOIR (to must) in the présent tense!! ... not the condtionnel tense,verbs
How do you express: I had (to do something).,Je DEVais ('shduh-vray'; Je can contract in front of any verb) faire quelque chose.; DEVOIR (to must) in the imparfait + infinitive of the action verb. Use imparfait because telling a story.; If you really needed to use passé composé (e.g. if you were stating a conclusion to past activity) then it would be: J'ai du (past participle of devoir) faire quelque chose.,verbs
